Group hierarchy;Region;Description;Service;Upfront;Monthly;First 12 months total;Currency;Configuration summary;;;;
My Estimate;US East (Ohio);Amazon Aurora MySQL-Compatible;0;1645.96;19751.52;USD;"""Change records per statement (0.38)"; Nodes (6); Instance Type (db.t4g.large); Instance Family (General purpose); Pricing Model (OnDemand);" Storage amount (4 TB)"""
My Estimate;US East (Ohio);Amazon Virtual Private Cloud (VPC);0;493.65;5923.80;USD;Number of NAT Gateways (1);;;;;
My Estimate;US East (Ohio);S3 Standard;0;2400.68;28808.16;USD;S3 Standard storage (100 TB per month);;;;;
My Estimate;US East (Ohio);Data Transfer;0;0;0.00;USD;"""DT Inbound: Internet (10 TB per month)";" DT Outbound: Amazon CloudFront (10 TB per month)""";;;;
My Estimate;US East (Ohio);Amazon CloudFront;0;875.4;10504.80;USD;"""Data transfer out to internet (10 TB per month)";" Number of requests (HTTPS) (5000000 per month)""";;;;
My Estimate;US East (Ohio);Amazon Route 53;0;960.75;11529.00;USD;"""Hosted Zones (1)";" Number of Elastic Network Interfaces (5)""";;;;
My Estimate;US East (Ohio);Amazon EC2;0;3187.58;38250.96;USD;"""Operating system (Linux)"; Quantity (16); Pricing strategy (On-Demand Instances); Storage amount (30 GB);" Instance type (t4g.2xlarge)""";
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Acknowledgement;;;;;;;;;;;;
"""* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors";" including your actual usage of AWS services.""";;;;;;;;;;;