Group hierarchy;Region;Description;Service;Upfront;Monthly;First 12 months total;Currency;Configuration summary
My Estimate;US East (Ohio);Amazon Aurora MySQL-Compatible;0;1166.35;13996.20;USD;Change records per statement (0.38), Nodes (3), Instance Type (db.t4g.medium), Instance Family (General purpose), Pricing Model (OnDemand), Storage amount (4 TB);
My Estimate;US East (Ohio);Amazon Virtual Private Cloud (VPC);0;493.65;5923.80;USD;Number of NAT Gateways (1);
My Estimate;US East (Ohio);S3 Standard;0;2400.68;28808.16;USD;S3 Standard storage (100 TB per month);
My Estimate;US East (Ohio);Data Transfer;0;0;0.00;USD;DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month);
My Estimate;US East (Ohio);Amazon CloudFront;0;440.2;5282.40;USD;Data transfer out to internet (5 TB per month), Number of requests (HTTPS) (5000000 per month);
My Estimate;US East (Ohio);Amazon Route 53;0;778.25;9339.00;USD;Hosted Zones (1), Number of Elastic Network Interfaces (3);
My Estimate;US East (Ohio);Amazon EC2;0;756.47;9077.64;USD;Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.2xlarge);
;;;;;;;;
;;;;;;;;
;;;;;;;;
Acknowledgement;;;;;;;;
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.;;;;;;;;
;;;;;;;;
;;;;;;;;
Reduced database nodes from 6 to 3 and changed instance type to medium;;;;;;;;
Reduced ec2 instances from 12 to 6 and switched to ec2 savings plan;;;;;;;;
Reduced cloud fron data transfer by 50%;;;;;;;;